######################################################################
#
# LoggerIdentifier    : 1858001C
# Comment             : 
# StartBatteryVoltage :      2953 mV
# EndBatteryVoltage   :      2933 mV
# TotalSampleCount    :    266826
# ResistanceOffset    :     11899.26821
# ResistanceScale     :     90961.56387
# TemperatureOffset   :         0.0009397284
# TemperatureLinear   :         0.0002205166
# TemperatureCubic    :         0.0000001287
#
######################################################################
yyyy mm dd HH MM SS      Raw     Res[Ohm]   Temp[degC]
2005 10 18 16 02 00    25668    36545.894       20.463
2005 10 18 16 02 01    25693    36579.995       20.442
2005 10 18 16 02 02    25717    36612.748       20.421
2005 10 18 16 02 03    25741    36645.519       20.401
2005 10 18 16 02 04    25765    36678.307       20.381
2005 10 18 16 02 05    25788    36709.744       20.361
2005 10 18 16 02 06    25811    36741.196       20.342
2005 10 18 16 02 07    25831    36768.559       20.325
2005 10 18 16 02 08    25851    36795.933       20.308
2005 10 18 16 02 09    25870    36821.950       20.292
2005 10 18 16 02 10    25891    36850.718       20.274
2005 10 18 16 02 11    25916    36884.981       20.253
2005 10 18 16 02 12    25939    36916.520       20.234
2005 10 18 16 02 13    25962    36948.075       20.215
2005 10 18 16 02 14    25983    36976.899       20.197
2005 10 18 16 02 15    26002    37002.990       20.181
2005 10 18 16 02 16    26020    37027.717       20.166
2005 10 18 16 02 17    26038    37052.453       20.151
2005 10 18 16 02 18    26057    37078.574       20.135
2005 10 18 16 02 19    26076    37104.706       20.119
2005 10 18 16 02 20    26094    37129.473       20.104
2005 10 18 16 02 21    26111    37152.872       20.089
2005 10 18 16 02 22    26130    37179.034       20.074
2005 10 18 16 02 23    26148    37203.829       20.058
2005 10 18 16 02 24    26165    37227.255       20.044
2005 10 18 16 02 25    26183    37252.069       20.029
2005 10 18 16 02 26    26200    37275.513       20.015
2005 10 18 16 02 27    26221    37304.485       19.997
2005 10 18 16 02 28    26241    37332.090       19.981
2005 10 18 16 02 29    26260    37358.325       19.965
2005 10 18 16 02 30    26283    37390.098       19.945
2005 10 18 16 02 31    26306    37421.887       19.926
2005 10 18 16 02 32    26329    37453.692       19.907
2005 10 18 16 02 33    26354    37488.280       19.886
2005 10 18 16 02 34    26378    37521.502       19.866
2005 10 18 16 02 35    26400    37551.970       19.848
2005 10 18 16 02 36    26423    37583.839       19.829
2005 10 18 16 02 37    26446    37615.724       19.809
2005 10 18 16 02 38    26469    37647.625       19.790
2005 10 18 16 02 39    26491    37678.153       19.772
2005 10 18 16 02 40    26513    37708.696       19.754
2005 10 18 16 02 41    26533    37736.475       19.737
2005 10 18 16 02 42    26553    37764.266       19.720
2005 10 18 16 02 43    26575    37794.850       19.702
2005 10 18 16 02 44    26598    37826.840       19.683
2005 10 18 16 02 45    26620    37857.453       19.665
2005 10 18 16 02 46    26641    37886.689       19.647
2005 10 18 16 02 47    26661    37914.545       19.631
2005 10 18 16 02 48    26679    37939.626       19.616
2005 10 18 16 02 49    26696    37963.322       19.602
2005 10 18 16 02 50    26712    37985.632       19.588
2005 10 18 16 02 51    26728    38007.950       19.575
2005 10 18 16 02 52    26744    38030.276       19.562
2005 10 18 16 02 53    26758    38049.817       19.550
2005 10 18 16 02 54    26774    38072.157       19.537
2005 10 18 16 02 55    26791    38095.902       19.523
2005 10 18 16 02 56    26808    38119.656       19.509
2005 10 18 16 02 57    26826    38144.816       19.494
2005 10 18 16 02 58    26841    38165.791       19.481
2005 10 18 16 02 59    26856    38186.772       19.469
2005 10 18 16 03 00    26870    38206.361       19.458
2005 10 18 16 03 01    26885    38227.355       19.445
2005 10 18 16 03 02    26902    38251.157       19.431
