######################################################################
#
# LoggerIdentifier    : 1854540C
# Comment             : 
# PC Time             : 22 January 2015 , 13:51:59
# Logger Time         : 22 January 2015 , 13:51:56
# StartBatteryVoltage :      2889 mV
# EndBatteryVoltage   :      2890 mV
# TotalSampleCount    :     62143
# ResistanceOffset    :     11910.84759
# ResistanceScale     :     90885.03517
# TemperatureOffset   :         0.0010743547
# TemperatureLinear   :         0.0002113377
# TemperatureCubic    :         0.0000000922
#
######################################################################
yyyy mm dd HH MM SS      Raw     Res[Ohm]   Temp[degC]
2015 01 22 10 47 58    23766    33990.464       22.346
2015 01 22 10 47 59    23766    33990.464       22.346
2015 01 22 10 48 00    23766    33990.464       22.346
2015 01 22 10 48 01    23766    33990.464       22.346
2015 01 22 10 48 02    23766    33990.464       22.346
2015 01 22 10 48 03    23766    33990.464       22.346
2015 01 22 10 48 04    23767    33991.774       22.345
2015 01 22 10 48 05    23767    33991.774       22.345
2015 01 22 10 48 06    23767    33991.774       22.345
2015 01 22 10 48 07    23767    33991.774       22.345
2015 01 22 10 48 08    23767    33991.774       22.345
2015 01 22 10 48 09    23767    33991.774       22.345
2015 01 22 10 48 10    23767    33991.774       22.345
2015 01 22 10 48 11    23768    33993.083       22.344
2015 01 22 10 48 12    23767    33991.774       22.345
2015 01 22 10 48 13    23767    33991.774       22.345
2015 01 22 10 48 14    23767    33991.774       22.345
2015 01 22 10 48 15    23767    33991.774       22.345
2015 01 22 10 48 16    23767    33991.774       22.345
2015 01 22 10 48 17    23767    33991.774       22.345
2015 01 22 10 48 18    23767    33991.774       22.345
2015 01 22 10 48 19    23767    33991.774       22.345
2015 01 22 10 48 20    23767    33991.774       22.345
2015 01 22 10 48 21    23767    33991.774       22.345
2015 01 22 10 48 22    23766    33990.464       22.346
2015 01 22 10 48 23    23767    33991.774       22.345
2015 01 22 10 48 24    23767    33991.774       22.345
2015 01 22 10 48 25    23766    33990.464       22.346
2015 01 22 10 48 26    23766    33990.464       22.346
2015 01 22 10 48 27    23766    33990.464       22.346
2015 01 22 10 48 28    23765    33989.155       22.347
2015 01 22 10 48 29    23766    33990.464       22.346
2015 01 22 10 48 30    23765    33989.155       22.347
2015 01 22 10 48 31    23765    33989.155       22.347
2015 01 22 10 48 32    23764    33987.846       22.347
2015 01 22 10 48 33    23765    33989.155       22.347
2015 01 22 10 48 34    23765    33989.155       22.347
2015 01 22 10 48 35    23764    33987.846       22.347
2015 01 22 10 48 36    23765    33989.155       22.347
2015 01 22 10 48 37    23765    33989.155       22.347
2015 01 22 10 48 38    23764    33987.846       22.347
2015 01 22 10 48 39    23764    33987.846       22.347
2015 01 22 10 48 40    23764    33987.846       22.347
2015 01 22 10 48 41    23764    33987.846       22.347
2015 01 22 10 48 42    23764    33987.846       22.347
2015 01 22 10 48 43    23764    33987.846       22.347
2015 01 22 10 48 44    23764    33987.846       22.347
2015 01 22 10 48 45    23764    33987.846       22.347
2015 01 22 10 48 46    23764    33987.846       22.347
2015 01 22 10 48 47    23763    33986.537       22.348
2015 01 22 10 48 48    23763    33986.537       22.348
2015 01 22 10 48 49    23763    33986.537       22.348
2015 01 22 10 48 50    23763    33986.537       22.348
2015 01 22 10 48 51    23763    33986.537       22.348
2015 01 22 10 48 52    23762    33985.228       22.349
2015 01 22 10 48 53    23762    33985.228       22.349
2015 01 22 10 48 54    23762    33985.228       22.349
2015 01 22 10 48 55    23762    33985.228       22.349
2015 01 22 10 48 56    23762    33985.228       22.349
2015 01 22 10 48 57    23763    33986.537       22.348
2015 01 22 10 48 58    23762    33985.228       22.349
2015 01 22 10 48 59    23763    33986.537       22.348
2015 01 22 10 49 00    23763    33986.537       22.348
2015 01 22 10 49 01    23762    33985.228       22.349
2015 01 22 10 49 02    23762    33985.228       22.349
2015 01 22 10 49 03    23761    33983.920       22.350
2015 01 22 10 49 04    23762    33985.228       22.349
2015 01 22 10 49 05    23761    33983.920       22.350
2015 01 22 10 49 06    23761    33983.920       22.350
2015 01 22 10 49 07    23761    33983.920       22.350
2015 01 22 10 49 08    23761    33983.920       22.350
2015 01 22 10 49 09    23760    33982.611       22.351
2015 01 22 10 49 10    23761    33983.920       22.350
2015 01 22 10 49 11    23760    33982.611       22.351
2015 01 22 10 49 12    23760    33982.611       22.351
2015 01 22 10 49 13    23760    33982.611       22.351
2015 01 22 10 49 14    23760    33982.611       22.351
2015 01 22 10 49 15    23759    33981.302       22.351
2015 01 22 10 49 16    23760    33982.611       22.351
2015 01 22 10 49 17    23759    33981.302       22.351
2015 01 22 10 49 18    23759    33981.302       22.351
2015 01 22 10 49 19    23759    33981.302       22.351
2015 01 22 10 49 20    23759    33981.302       22.351
2015 01 22 10 49 21    23759    33981.302       22.351
2015 01 22 10 49 22    23758    33979.993       22.352
2015 01 22 10 49 23    23758    33979.993       22.352
2015 01 22 10 49 24    23758    33979.993       22.352
2015 01 22 10 49 25    23758    33979.993       22.352
2015 01 22 10 49 26    23757    33978.684       22.353
2015 01 22 10 49 27    23758    33979.993       22.352
2015 01 22 10 49 28    23757    33978.684       22.353
2015 01 22 10 49 29    23757    33978.684       22.353
2015 01 22 10 49 30    23756    33977.375       22.354
2015 01 22 10 49 31    23757    33978.684       22.353
2015 01 22 10 49 32    23757    33978.684       22.353
2015 01 22 10 49 33    23756    33977.375       22.354
2015 01 22 10 49 34    23756    33977.375       22.354
2015 01 22 10 49 35    23756    33977.375       22.354
2015 01 22 10 49 36    23757    33978.684       22.353
2015 01 22 10 49 37    23756    33977.375       22.354
2015 01 22 10 49 38    23756    33977.375       22.354
2015 01 22 10 49 39    23756    33977.375       22.354
2015 01 22 10 49 40    23756    33977.375       22.354
2015 01 22 10 49 41    23756    33977.375       22.354
2015 01 22 10 49 42    23756    33977.375       22.354
2015 01 22 10 49 43    23756    33977.375       22.354
2015 01 22 10 49 44    23756    33977.375       22.354
2015 01 22 10 49 45    23755    33976.067       22.355
2015 01 22 10 49 46    23755    33976.067       22.355
2015 01 22 10 49 47    23755    33976.067       22.355
2015 01 22 10 49 48    23756    33977.375       22.354
2015 01 22 10 49 49    23756    33977.375       22.354
2015 01 22 10 49 50    23756    33977.375       22.354
2015 01 22 10 49 51    23756    33977.375       22.354
2015 01 22 10 49 52    23756    33977.375       22.354
2015 01 22 10 49 53    23756    33977.375       22.354
2015 01 22 10 49 54    23756    33977.375       22.354
2015 01 22 10 49 55    23757    33978.684       22.353
2015 01 22 10 49 56    23756    33977.375       22.354
2015 01 22 10 49 57    23756    33977.375       22.354
2015 01 22 10 49 58    23757    33978.684       22.353
2015 01 22 10 49 59    23756    33977.375       22.354
2015 01 22 10 50 00    23756    33977.375       22.354
2015 01 22 10 50 01    23756    33977.375       22.354
2015 01 22 10 50 02    23756    33977.375       22.354
2015 01 22 10 50 03    23756    33977.375       22.354
2015 01 22 10 50 04    23756    33977.375       22.354
2015 01 22 10 50 05    23757    33978.684       22.353
2015 01 22 10 50 06    23756    33977.375       22.354
2015 01 22 10 50 07    23756    33977.375       22.354
2015 01 22 10 50 08    23756    33977.375       22.354
2015 01 22 10 50 09    23756    33977.375       22.354
2015 01 22 10 50 10    23756    33977.375       22.354
2015 01 22 10 50 11    23756    33977.375       22.354
2015 01 22 10 50 12    23756    33977.375       22.354
2015 01 22 10 50 13    23756    33977.375       22.354
2015 01 22 10 50 14    23757    33978.684       22.353
2015 01 22 10 50 15    23756    33977.375       22.354
2015 01 22 10 50 16    23757    33978.684       22.353
2015 01 22 10 50 17    23756    33977.375       22.354
2015 01 22 10 50 18    23756    33977.375       22.354
2015 01 22 10 50 19    23756    33977.375       22.354
2015 01 22 10 50 20    23756    33977.375       22.354
2015 01 22 10 50 21    23756    33977.375       22.354
2015 01 22 10 50 22    23756    33977.375       22.354
2015 01 22 10 50 23    23756    33977.375       22.354
2015 01 22 10 50 24    23756    33977.375       22.354
2015 01 22 10 50 25    23756    33977.375       22.354
2015 01 22 10 50 26    23756    33977.375       22.354
2015 01 22 10 50 27    23756    33977.375       22.354
2015 01 22 10 50 28    23756    33977.375       22.354
2015 01 22 10 50 29    23756    33977.375       22.354
2015 01 22 10 50 30    23755    33976.067       22.355
2015 01 22 10 50 31    23755    33976.067       22.355
2015 01 22 10 50 32    23755    33976.067       22.355
2015 01 22 10 50 33    23755    33976.067       22.355
2015 01 22 10 50 34    23755    33976.067       22.355
2015 01 22 10 50 35    23755    33976.067       22.355
2015 01 22 10 50 36    23755    33976.067       22.355
2015 01 22 10 50 37    23754    33974.758       22.356
2015 01 22 10 50 38    23755    33976.067       22.355
2015 01 22 10 50 39    23755    33976.067       22.355
2015 01 22 10 50 40    23754    33974.758       22.356
2015 01 22 10 50 41    23755    33976.067       22.355
2015 01 22 10 50 42    23754    33974.758       22.356
2015 01 22 10 50 43    23755    33976.067       22.355
2015 01 22 10 50 44    23754    33974.758       22.356
2015 01 22 10 50 45    23754    33974.758       22.356
2015 01 22 10 50 46    23754    33974.758       22.356
2015 01 22 10 50 47    23754    33974.758       22.356
2015 01 22 10 50 48    23755    33976.067       22.355
2015 01 22 10 50 49    23754    33974.758       22.356
2015 01 22 10 50 50    23754    33974.758       22.356
2015 01 22 10 50 51    23755    33976.067       22.355
2015 01 22 10 50 52    23755    33976.067       22.355
2015 01 22 10 50 53    23755    33976.067       22.355
2015 01 22 10 50 54    23755    33976.067       22.355
2015 01 22 10 50 55    23755    33976.067       22.355
2015 01 22 10 50 56    23756    33977.375       22.354
2015 01 22 10 50 57    23755    33976.067       22.355
