" **** Processed with calibration values from 4/93 and 5/95 WHOI testing ****"
" **** Adara Temperature Tool Data File Version 3.0 ****"                       
"      Serial Number:       11"                                                 
"   Calibration Date: 10:09:1991"                                               
" Download Reference: 01:04:04:58"                                              
" Start Logging Time: Mon Jun 24 04:05:00 1996"                                 
"    Data Uploaded @: Mon Jun 24 05:39:22 1996"                                 
   335,     2.214
   336,     2.214
   337,     2.206
   338,     2.214
   339,     2.214
   340,     2.214
   341,     2.206
   342,     2.206
   343,     2.198
   344,     2.198
   345,     2.190
   346,     2.198
   347,     2.198
   348,     2.198
   349,     2.198
   350,     2.198
   351,     2.206
   352,     2.198
   353,     2.206
   354,     2.206
   355,     2.214
   356,     2.222
   357,     2.222
   358,     2.237
   359,     2.245
   360,     2.245
   361,     2.245
   362,     2.245
   363,     2.245
   364,     2.245
   365,     2.245
   366,     2.237
   367,     2.237
   368,     2.237
   369,     2.237
   370,     2.229
   371,     2.222
   372,     2.214
   373,     2.222
   374,     2.214
   375,     2.214
   376,     2.222
   377,     2.214
   378,     2.222
   379,     2.229
   380,     2.237
   381,     2.237
   382,     2.245
   383,     2.245
   384,     2.253
   385,     2.261
   386,     2.261
   387,     2.261
   388,     2.261
   389,     2.261
   390,     2.253
   391,     2.253
   392,     2.253
   393,     2.253
   394,     2.245
   395,     2.245
   396,     2.245
   397,     2.237
   398,     2.237
   399,     2.229
   400,     2.229
   401,     2.229
   402,     2.229
   403,     2.229
   404,     2.229
   405,     2.229
   406,     2.222
   407,     2.222
   408,     2.214
   409,     2.222
   410,     2.222
   411,     2.229
   412,     2.222
   413,     2.229
   414,     2.229
   415,     2.229
   416,     2.237
   417,     2.229
   418,     2.229
   419,     2.222
   420,     2.222
   421,     2.214
   422,     2.222
   423,     2.222
   424,     2.214
   425,     2.214
   426,     2.214
   427,     2.206
   428,     2.214
   429,     2.214
   430,     2.214
   431,     2.222
   432,     2.222
   433,     2.222
   434,     2.222
   435,     2.229
   436,     2.229
   437,     2.229
   438,     2.214
   439,     2.229
   440,     2.222
   441,     2.222
   442,     2.222
   443,     2.222
   444,     2.222
   445,     2.222
   446,     2.222
   447,     2.214
   448,     2.214
   449,     2.206
   450,     2.206
   451,     2.206
   452,     2.206
   453,     2.206
   454,     2.198
   455,     2.198
   456,     2.198
   457,     2.190
   458,     2.198
   459,     2.190
   460,     2.183
   461,     2.190
   462,     2.183
   463,     2.183
   464,     2.183
   465,     2.175
   466,     2.183
   467,     2.190
   468,     2.175
   469,     2.183
   470,     2.183
   471,     2.183
   472,     2.183
   473,     2.183
   474,     2.183
   475,     2.183
   476,     2.183
   477,     2.183
   478,     2.183
   479,     2.175
   480,     2.175
   481,     2.175
   482,     2.175
   483,     2.175
   484,     2.175
   485,     2.167
   486,     2.167
   487,     2.159
   488,     2.144
   489,     2.129
   490,     2.105
   491,     2.090
   492,     2.090
   493,     2.082
   494,     2.090
   495,     2.090
   496,     2.113
   497,     2.129
   498,     2.151
   499,     2.183
   500,     2.190
   501,     2.214
   502,     2.222
   503,     2.229
   504,     2.237
   505,     2.253
   506,     2.261
   507,     2.261
   508,     2.268
   509,     2.276
   510,     2.299
   511,     2.338
   512,     2.377
   513,     2.400
   514,     2.408
   515,     2.422
   516,     2.609
   517,     2.872
   518,     3.089
   519,     3.353
   520,     3.623
   521,     3.886
   522,     4.134
   523,     4.367
   524,     4.637
   525,     5.233
   526,     5.565
   527,     6.238
   528,    19.420
   529,    17.486
   530,    16.042
   531,    15.065
   532,    14.381
   533,    13.904
   534,    13.558
   535,    13.296
   536,    13.104
   537,    12.950
   538,    12.826
   539,    12.703
   540,    12.618
   541,    12.525
   542,    12.448
   543,    12.371
   544,    12.287
   545,    12.210
   546,    12.140
   547,    12.071
   548,    11.994
   549,    11.925
   550,    11.856
   551,    11.786
   552,    11.725
   553,    11.663
   554,    11.593
   555,    11.532
   556,    11.478
   557,    11.424
   558,    11.370
   559,    11.316
   560,    11.255
   561,    11.208
   562,    11.155
   563,    11.116
   564,    11.062
   565,    11.023
   566,    10.985
   567,    10.938
   568,    10.900
   569,    10.853
   570,    10.823
   571,    10.784
   572,    10.754
   573,    10.715
   574,    10.677
   575,    10.646
   576,    10.614
   577,    10.584
   578,    10.553
   579,    10.530
   580,    10.499
   581,    10.476
   582,    10.437
   583,    10.422
   584,    10.399
   585,    10.376
   586,    10.345
   587,    10.330
   588,    10.299
   589,    10.283
   590,    10.267
   591,    10.237
   592,    10.222
   593,    10.206
   594,    10.183
   595,    10.168
   596,    10.145
   597,    10.129
   598,    10.106
   599,    10.091
   600,    10.083
   601,    10.060
   602,    10.044
   603,    10.029
   604,    10.005
   605,     9.998
   606,     9.983
   607,     9.967
   608,     9.952
   609,     9.944
   610,     9.920
   611,     9.914
   612,     9.898
   613,     9.882
   614,     9.875
   615,     9.859
   616,     9.851
   617,     9.829
   618,     9.813
   619,     9.805
   620,     9.797
   621,     9.782
   622,     9.766
   623,     9.758
   624,     9.751
   625,     9.736
   626,     9.728
   627,     9.713
   628,     9.705
   629,     9.689
   630,     9.681
   631,     9.674
   632,     9.674
   633,     9.651
   634,     9.643
   635,     9.643
   636,     9.628
   637,     9.620
   638,     9.612
   639,     9.604
   640,     9.597
   641,     9.589
   642,     9.573
   643,     9.559
   644,     9.559
   645,     9.559
   646,     9.543
   647,     9.535
   648,     9.527
   649,     9.520
   650,     9.512
   651,     9.496
   652,     9.504
   653,     9.488
   654,     9.481
   655,     9.474
   656,     9.466
   657,     9.466
   658,     9.458
   659,     9.450
   660,     9.443
   661,     9.435
   662,     9.427
   663,     9.366
   664,     9.358
   665,     9.327
   666,     9.666
   667,    11.871
   668,    12.549
   669,    12.749
   670,    12.726
   671,    12.865
   672,    12.749
   673,    12.549
   674,    12.310
   675,    12.749
   676,    10.437
   677,     7.721
   678,     5.109
   679,     3.778
   680,     3.066
   681,     2.756
   682,     2.593
   683,     2.438
   684,     2.338
   685,     2.306
   686,     2.306
   687,     2.361
   688,     2.400
   689,     2.422
   690,     2.430
   691,     2.438
   692,     2.416
   693,     2.416
   694,     2.416
   695,     2.416
   696,     2.400
   697,     2.400
   698,     2.408
   699,     2.377
   700,     2.392
   701,     2.384
   702,     2.384
   703,     2.384
   704,     2.377
   705,     2.377
   706,     2.377
   707,     2.384
   708,     2.422
   709,     2.400
   710,     2.416
   711,     2.408
   712,     2.400
   713,     2.416
   714,     2.422
   715,     2.446
   716,     2.446
   717,     2.461
   718,     2.477
   719,     2.485
   720,     2.500
   721,     2.508
   722,     2.516
   723,     2.539
   724,     2.547
   725,     2.577
   726,     2.585
   727,     2.593
   728,     2.609
   729,     2.640
   730,     2.655
   731,     2.694
   732,     2.709
   733,     2.717
   734,     2.725
   735,     2.740
   736,     2.764
   737,     2.787
   738,     2.795
   739,     2.833
   740,     2.848
   741,     2.872
   742,     2.911
   743,     2.950
   744,     2.996
   745,     3.043
   746,     3.066
   747,     3.112
   748,     3.135
   749,     3.190
   750,     3.221
   751,     3.259
   752,     3.298
   753,     3.353
   754,     3.367
   755,     3.414
   756,     3.445
   757,     3.469
   758,     3.499
   759,     3.522
   760,     3.561
   761,     3.585
   762,     3.623
   763,     3.662
   764,     3.670
   765,     3.709
   766,     3.740
   767,     3.770
   768,     3.801
   769,     3.848
   770,     3.894
   771,     3.941
   772,     3.964
   773,     3.995
   774,     4.049
   775,     4.096
   776,     4.119
   777,     4.173
   778,     4.212
   779,     4.243
   780,     4.296
   781,     4.351
   782,     4.373
   783,     4.428
   784,     4.475
   785,     4.536
   786,     4.568
   787,     4.607
   788,     4.652
   789,     4.707
   790,     4.753
   791,     4.807
   792,     4.900
   793,     4.955
   794,     5.024
   795,     5.116
   796,     5.217
   797,     5.279
   798,     5.372
   799,     5.504
   800,     5.604
   801,     5.720
   802,     5.828
   803,     5.952
   804,     6.083
   805,     6.222
   806,     6.362
   807,     6.578
   808,     6.825
   809,     7.080
   810,     7.258
   811,     7.458
   812,     7.706
   813,     7.953
   814,     8.231
   815,     8.555
   816,     8.895
   817,     9.250
   818,     9.643
   819,     9.959
   820,    10.314
   821,    10.684
   822,    11.070
   823,    11.347
   824,    11.463
   825,    11.601
   826,    11.725
   827,    11.786
   828,    11.863
   829,    11.940
   830,    11.978
   831,    12.249
   832,    12.472
   833,    12.572
   834,    12.626
   835,    12.665
   836,    12.679
   837,    12.687
   838,    12.711
   839,    12.718
   840,    12.718
   841,    12.711
   842,    12.711
   843,    12.695
   844,    12.672
   845,    12.672
   846,    12.649
   847,    12.634
   848,    12.595
   849,    12.580
   850,    12.541
   851,    12.503
   852,    12.472
   853,    12.448
   854,    12.448
   855,    12.410
   856,    12.371
   857,    12.341
   858,    12.302
   859,    12.280
   860,    12.249
   861,    12.217
   862,    12.195
   863,    12.172
   864,    12.140
   865,    12.132
   866,    12.094
   867,    12.079
   868,    12.071
   869,    12.049
   870,    12.063
   871,    12.118
   872,    12.287
   873,    12.525
   874,    12.618
   875,    12.641
   876,    12.657
   877,    12.672
   878,    12.672
   879,    12.679
   880,    12.672
   881,    12.672
   882,    12.641
   883,    12.618
   884,    12.610
   885,    12.595
   886,    12.595
   887,    12.588
   888,    12.580
   889,    12.572
   890,    12.564
   891,    12.564
   892,    12.564
   893,    12.564
   894,    12.564
   895,    12.557
   896,    12.564
   897,    12.564
   898,    12.564
   899,    12.564
   900,    12.557
   901,    12.557
   902,    12.541
   903,    12.549
   904,    12.557
   905,    12.549
   906,    12.533
   907,    12.541
   908,    12.541
   909,    12.541
   910,    12.557
   911,    12.557
   912,    12.549
   913,    12.541
   914,    12.533
   915,    12.525
   916,    12.511
   917,    12.503
   918,    12.495
   919,    12.487
   920,    12.487
   921,    12.480
   922,    12.480
   923,    12.472
   924,    12.464
   925,    12.464
   926,    12.464
   927,    12.464
   928,    12.464
   929,    12.441
   930,    12.434
   931,    12.434
   932,    12.426
   933,    12.410
   934,    12.403
   935,    12.387
   936,    12.379
   937,    12.371
   938,    12.364
   939,    12.357
   940,    12.341
   941,    12.326
   942,    12.326
   943,    12.318
   944,    12.302
   945,    12.294
   946,    12.287
   947,    12.272
   948,    12.272
   949,    12.256
   950,    12.256
   951,    12.225
   952,    12.233
   953,    12.217
   954,    12.203
   955,    12.195
   956,    12.179
   957,    12.164
   958,    12.156
   959,    12.148
   960,    12.140
   961,    12.126
   962,    12.118
   963,    12.102
   964,    12.156
   965,    12.294
   966,    12.395
   967,    12.448
   968,    12.525
   969,    12.595
   970,    12.610
   971,    12.595
   972,    12.588
   973,    12.580
   974,    12.580
   975,    12.580
   976,    12.595
   977,    12.595
   978,    12.595
   979,    12.588
   980,    12.588
   981,    12.580
   982,    12.572
   983,    12.564
   984,    12.557
   985,    12.549
   986,    12.549
   987,    12.533
   988,    12.541
   989,    12.588
   990,    12.687
   991,    12.895
   992,    12.950
   993,    13.142
   994,    13.519
   995,    13.719
   996,    14.088
   997,    14.373
   998,    14.357
   999,    14.296
  1000,    14.273
  1001,    14.242
  1002,    14.219
  1003,    14.211
  1004,    14.204
  1005,    14.258
  1006,    14.357
  1007,    14.489
  1008,    14.620
  1009,    14.650
  1010,    14.650
  1011,    14.665
  1012,    14.689
  1013,    14.689
  1014,    14.697
  1015,    14.703
  1016,    14.711
  1017,    14.703
  1018,    14.711
                                                                                
