 ACQUISITION DATE:,,, 11/19/09 
 CF-2 SERIAL NUMBER:,,, 7448
 PROGRAM VERSION:,,, V1.2E
 LAST CALIBRATION DATE:,,, 10/20/2008
 FILE REFERENCE:,,, 1351b
 PRESSURE TRANSDUCER S/N:,,, 000
 Electronics S/N and Thermistor S/N:,,,CDAQ01-10T03
 Board Temperature at time of Calibration:,,,28C degrees


 GMT TIME          , Tip Temp,  Tip R  , Brd Temp, Batt Volts,   Pressure,       GMT Time  , X  , Y , Z
 mm/dd/yy HH:MM:SS  , deg C ,   Ohms ,     deg C ,   Volts ,      PSI,       mm/dd/yy HH:MM:SS  , g  , g , g
11/19/09 13:08:26.04,  20.586, 12160.10,   22.0,     7.3,                      ,11/19/09 13:07:47.32, 0.00, 0.27, -0.96
11/19/09 13:08:27.04,  20.585, 12160.50,   22.0,     7.3,                      ,11/19/09 13:07:47.42, 0.00, 0.27, -0.96
11/19/09 13:08:28.04,  20.585, 12160.98,   22.0,     7.3,                      ,11/19/09 13:07:47.52, 0.00, 0.27, -0.96
11/19/09 13:08:29.04,  20.584, 12161.46,   22.0,     7.3,                      ,11/19/09 13:07:47.62, 0.00, 0.27, -0.96
11/19/09 13:08:30.04,  20.583, 12162.04,   22.0,     7.3,                      ,11/19/09 13:07:47.72, 0.00, 0.27, -0.95
11/19/09 13:08:31.04,  20.582, 12162.60,   22.0,     7.3,                      ,11/19/09 13:07:47.82, 0.00, 0.27, -0.96
11/19/09 13:08:32.04,  20.581, 12163.18,   22.1,     7.3,                      ,11/19/09 13:07:47.92, 0.00, 0.27, -0.95
11/19/09 13:08:33.04,  20.580, 12163.59,   22.1,     7.3,                      ,11/19/09 13:07:48.02, 0.00, 0.27, -0.96
11/19/09 13:08:34.04,  20.579, 12164.24,   22.1,     7.3,                      ,11/19/09 13:07:48.12, 0.00, 0.27, -0.96
11/19/09 13:08:35.04,  20.578, 12164.72,   22.1,     7.3,                      ,11/19/09 13:07:48.22, 0.00, 0.27, -0.96
11/19/09 13:08:36.04,  20.577, 12165.28,   22.1,     7.3,                      ,11/19/09 13:07:48.32, 0.00, 0.27, -0.96
11/19/09 13:08:37.04,  20.576, 12165.70,   22.1,     7.3,                      ,11/19/09 13:07:48.42, 0.00, 0.27, -0.96
11/19/09 13:08:38.04,  20.575, 12166.12,   22.1,     7.3,                      ,11/19/09 13:07:48.52, 0.00, 0.27, -0.96
11/19/09 13:08:39.04,  20.574, 12166.59,   22.1,     7.3,                      ,11/19/09 13:07:48.62, 0.00, 0.27, -0.96
11/19/09 13:08:40.04,  20.574, 12166.92,   22.1,     7.3,                      ,11/19/09 13:07:48.72, 0.00, 0.27, -0.96
11/19/09 13:08:41.04,  20.573, 12167.35,   22.1,     7.3,                      ,11/19/09 13:07:48.82, 0.00, 0.27, -0.96
11/19/09 13:08:42.04,  20.572, 12167.70,   22.1,     7.3,                      ,11/19/09 13:07:48.92, 0.00, 0.27, -0.96
